electoral_district,name,voters,color_id,color,terr
15,Донецкая Народная Республика – Горловский одномандатный избирательный округ,550973,13,#ff00ff,"городской округ Горловка; городской округ Дебальцево; городской округ Донецк: Киевский внутригородской район, Куйбышевский внутригородской район; села: Веселое, Пески, Спартак; городской округ Енакиево; городской округ Краматорск; городской округ Снежное; городской округ Торез; Александровский муниципальный округ; Артёмовский муниципальный округ; Константиновский муниципальный округ; Краснолиманский муниципальный округ; Славянский муниципальный округ; Шахтёрский муниципальный округ; Ясиноватский муниципальный округ"
16,Республика Ингушетия – Ингушский одномандатный избирательный округ,249782,5,#b03060,
17,Кабардино-Балкарская Республика – Кабардино-Балкарский одномандатный избирательный округ,545569,3,#008000,
18,Республика Калмыкия – Калмыцкий одномандатный избирательный округ,204154,4,#00008b,
19,Карачаево-Черкесская Республика – Карачаево-Черкесский одномандатный избирательный округ,298466,9,#7fff00,
20,Республика Карелия – Карельский одномандатный избирательный округ,497096,12,#0000ff,
21,Республика Коми – Сыктывкарский одномандатный избирательный округ,623521,9,#7fff00,
22,Республика Крым – Симферопольский одномандатный избирательный округ,485206,4,#00008b,городской округ Симферополь; Бахчисарайский муниципальный район; Симферопольский муниципальный район
23,Республика Крым – Керченский одномандатный избирательный округ,481657,15,#ee82ee,городской округ Керчь; муниципальный округ Алушта; муниципальный округ Судак; муниципальный округ Феодосия; муниципальный округ Ялта; Белогорский муниципальный район; Кировский муниципальный район; Ленинский муниципальный район
24,Республика Крым – Евпаторийский одномандатный избирательный округ,506917,8,#ffff00,городской округ Джанкой; городской округ Евпатория; городской округ Красноперекопск; городской округ Саки; муниципальный округ Армянск; Джанкойский муниципальный район; Красногвардейский муниципальный район; Красноперекопский муниципальный район; Нижнегорский муниципальный район; Первомайский муниципальный район; Раздольненский муниципальный район; Сакский муниципальный район; Советский муниципальный район; Черноморский муниципальный район
25,Луганская Народная Республика – Луганский одномандатный избирательный округ,609256,2,#8b4513,городской округ город Лисичанск; городской округ город Луганск; городской округ город Первомайск; городской округ город Рубежное; городской округ город Северодонецк; Беловодский муниципальный округ; Белокуракинский муниципальный округ; Кременской муниципальный округ; Марковский муниципальный округ; Меловский муниципальный округ; Новоайдарский муниципальный округ; Новопсковский муниципальный округ; Сватовский муниципальный округ; Славяносербский муниципальный округ; Станично-Луганский муниципальный округ; Старобельский муниципальный округ; Троицкий муниципальный округ
26,Луганская Народная Республика – Алчевский одномандатный избирательный округ,630857,6,#ff0000,городской округ город Алчевск; городской округ город Брянка; городской округ город Кировск; городской округ город Красный Луч; городской округ город Ровеньки; городской округ город Стаханов; Антрацитовский муниципальный округ; Краснодонский муниципальный округ; Лутугинский муниципальный округ; Перевальский муниципальный округ; Свердловский муниципальный округ
27,Республика Марий Эл – Марийский одномандатный избирательный округ,524344,12,#0000ff,
28,Республика Мордовия – Мордовский одномандатный избирательный округ,571312,2,#8b4513,
29,Республика Саха (Якутия) – Якутский одномандатный избирательный округ,641487,13,#ff00ff,
30,Республика Северная Осетия – Алания – Северо-Осетинский одномандатный избирательный округ,513938,1,#2f4f4f,
31,Республика Татарстан (Татарстан) – Приволжский одномандатный избирательный округ,490205,8,#ffff00,"городской округ город Казань: Вахитовский район, Приволжский район; муниципальный район Балтасинский район; муниципальный район Кукморский район; муниципальный район Лаишевский район; муниципальный район Мамадышский район; муниципальный район Пестречинский район; муниципальный район Рыбно-Слободский район; муниципальный район Сабинский район; муниципальный район Тюлячинский район"
32,Республика Татарстан (Татарстан) – Московский одномандатный избирательный округ,521127,3,#008000,"городской округ город Казань: Кировский район, Московский район; муниципальный район Апастовский район; муниципальный район Арский район; муниципальный район Атнинский район; муниципальный район Буинский район; муниципальный район Верхнеуслонский район; муниципальный район Высокогорский район; муниципальный район Дрожжановский район; муниципальный район Зеленодольский район; муниципальный район Кайбицкий район; муниципальный район Камско-Устьинский район; муниципальный район Тетюшский район"
33,Республика Татарстан (Татарстан) – Нижнекамский одномандатный избирательный округ,444527,5,#b03060,"муниципальный район Аксубаевский район; муниципальный район Алексеевский район; муниципальный район Алькеевский район; муниципальный район Елабужский район; муниципальный район Менделеевский район: сельское поселение Абалачевское, сельское поселение Брюшлинское; муниципальный район Нижнекамский район; муниципальный район Новошешминский район; муниципальный район Нурлатский район; муниципальный район Спасский район; муниципальный район Черемшанский район; муниципальный район Чистопольский район"
34,Республика Татарстан (Татарстан) – Набережно-Челнинский одномандатный избирательный округ,519747,2,#8b4513,"городской округ город Набережные Челны; муниципальный район Агрызский район; муниципальный район Актанышский район; муниципальный район Менделеевский район: город Менделеевск, сельское поселение Бизякинское, сельское поселение Енабердинское, сельское поселение Ижевское, сельское поселение Камаевское, сельское поселение Монашевское, сельское поселение Мунайкинское, сельское поселение Псеевское, сельское поселение Старогришкинское, сельское поселение Татарско-Челнинское, сельское поселение Тихоновское, сельское поселение Тойгузинское, сельское поселение Тураевское; муниципальный район Мензелинский район; муниципальный район Тукаевский район"
35,Республика Татарстан (Татарстан) – Альметьевский одномандатный избирательный округ,449855,6,#ff0000,муниципальный район Азнакаевский район; муниципальный район Альметьевский район; муниципальный район Бавлинский район; муниципальный район Бугульминский район; муниципальный район Заинский район; муниципальный район Лениногорский район; муниципальный район Муслюмовский район; муниципальный район Сармановский район; муниципальный район Ютазинский район
36,Республика Татарстан (Татарстан) – Центральный одномандатный избирательный округ,498826,15,#ee82ee,"городской округ город Казань: Авиастроительный район, Ново-Савиновский район, Советский район"
37,Республика Тыва – Тывинский одномандатный избирательный округ,207746,15,#ee82ee,
38,Удмуртская Республика – Удмуртский одномандатный избирательный округ,559208,1,#2f4f4f,"городской округ город Воткинск; городской округ город Глазов; городской округ город Ижевск: Индустриальный район, Устиновский район; муниципальный округ Балезинский район; муниципальный округ Воткинский район; муниципальный округ Глазовский район; муниципальный округ Дебёсский район; муниципальный округ Завьяловский район: деревни: Банное, Бахтияры, Башур, Березка, Вожой, Докша, Дуброво, Забегалово, Кабаниха, Кашабеги, Колюшево, Красный Кустарь, Крестовоздвиженское, Макарово, Нижний Вожой, Новая Казмаска, Новое Мартьяново, Новокварсинское, Новые Марасаны, Петухи, Поваренки, Позимь, Пычанки, Русский Вожой, Семеново, Сокол, Старая Казмаска, Старое Мартьяново, Старое Михайловское, Старые Марасаны, Старые Тукмачи, Тихий Ключ, Хохряки, Чемошур, Якшур, починки: Вожойский, Дома 45 км, Мирный, Новомихайловский, Орешники, Подлесный, Разъезд 13 км узкоколейной железной дороги, Успенский, Шурдымка, села: Гольяны, Завьялово, Италмас, Октябрьский, Первомайский, Ягул; муниципальный округ Игринский район; муниципальный округ Кезский район; муниципальный округ Красногорский район; муниципальный округ Селтинский район; муниципальный округ Шарканский район; муниципальный округ Юкаменский район; муниципальный округ Якшур-Бодьинский район; муниципальный округ Ярский район"
39,Удмуртская Республика – Ижевский одномандатный избирательный округ,606111,14,#6495ed,"городской округ город Ижевск: Ленинский район, Октябрьский район, Первомайский район; городской округ город Можга; городской округ город Сарапул; муниципальный округ Алнашский район; муниципальный округ Вавожский район; муниципальный округ Граховский район; муниципальный округ Завьяловский район:; деревни: Байкузино, Бахилы, Болтачево, Большая Венья, Большая Докья, Большой Кияик, Верхний Женвай, Верхний Люк, Верхняя Лудзя, Второй Ижевский лесопункт, Динтем-Бодья, Жеребенки, Истомино, Каменное, Каравай-Норья, Кетул, Козлово, Коньки, Кузили, Курегово, Ленино, Лудзя-Норья, Лудорвай, Люкшудья, Малая Венья, Малиново, Мещеряки, Можвай, Непременная Лудзя, Никольское, Новая Крестьянка, Новый Сентег, Новый Урал, Новый Чультем, Ожмос-Пурга, Пальники, Пестовка, Пивоварово, Пиканы, Пирогово, Подшивалово, Пойвай, Постол, Русские Бисарки, Сапарово, Сентег, Сепыч, Сизево, Средний Постол, Старые Кены, Старый Бор, Старый Сентег, Старый Чультем, Троицкое, Чепаниха, Чужьялово, Чукавинки, Шабердино, Шудья, починки: Вознесенский, Майский, Михайловский, Можвай, Садаковский, Советско-Никольское лесничество, Ударник, села: Азино, Бабино, Вараксино, Кияик, Люк, Люкшудья, Постол, Советско-Никольское, Совхозный, Юськи; муниципальный округ Камбарский район; муниципальный округ Каракулинский район; муниципальный округ Кизнерский район; муниципальный округ Киясовский район; муниципальный округ Малопургинский район; муниципальный округ Можгинский район; муниципальный округ Сарапульский район; муниципальный округ Сюмсинский район; муниципальный округ Увинский район"
40,Республика Хакасия – Хакасский одномандатный избирательный округ,395029,9,#7fff00,
41,Чеченская Республика – Чеченский одномандатный избирательный округ,832639,10,#00fa9a,
42,Чувашская Республика – Чувашия – Канашский одномандатный избирательный округ,448416,4,#00008b,"городской округ город Новочебоксарск; городской округ город Чебоксары: Калининский район; Батыревский муниципальный округ; Канашский муниципальный округ; Козловский муниципальный округ; Комсомольский муниципальный округ; Красноармейский муниципальный округ; Мариинско-Посадский муниципальный округ; Урмарский муниципальный округ; Цивильский муниципальный округ; Чебоксарский муниципальный округ: деревни: Алатырькасы, Алымкасы, Атлашево, Верхний Магазь, Ердово, Кодеркасы, Липово, Нижний Магазь, Толиково, Томакасы, Ураево-Магазь, поселок Новое Атлашево; Шемуршинский муниципальный округ; Яльчикский муниципальный округ; Янтиковский муниципальный округ"
43,Чувашская Республика – Чувашия – Чебоксарский одномандатный избирательный округ,459891,11,#00ffff,"городской округ город Чебоксары: Ленинский район, Московский район; Алатырский муниципальный округ; Аликовский муниципальный округ; Вурнарский муниципальный округ; Ибресинский муниципальный округ; Красночетайский муниципальный округ; Моргаушский муниципальный округ; Порецкий муниципальный округ; Чебоксарский муниципальный округ, за исключением: деревни: Алатырькасы, Алымкасы, Атлашево, Верхний Магазь, Ердово, Кодеркасы, Липово, Нижний Магазь, Толиково, Томакасы, Ураево-Магазь, поселок Новое Атлашево; Шумерлинский муниципальный округ; Ядринский муниципальный округ"
44,Алтайский край – Барнаульский одномандатный избирательный округ,566807,9,#7fff00,"городской округ город Алейск; городской округ - город Барнаул: Железнодорожный район, Центральный район; городской округ город Белокуриха; городской округ город Рубцовск; муниципальный округ Змеиногорский район; муниципальный округ Солонешенский район; муниципальный округ Чарышский район; муниципальный район Алейский район; муниципальный район Алтайский район; муниципальный район Быстроистокский район; муниципальный район Егорьевский район; муниципальный район Калманский район; муниципальный район Краснощёковский район; муниципальный район Курьинский район; муниципальный район Локтевский район; муниципальный район Новичихинский район; муниципальный район Петропавловский район; муниципальный район Поспелихинский район; муниципальный район Рубцовский район; муниципальный район Смоленский район; муниципальный район Советский район; муниципальный район Топчихинский район; муниципальный район Третьяковский район; муниципальный район Усть-Калманский район; муниципальный район Усть-Пристанский район; муниципальный район Шипуновский район"
45,Алтайский край – Бийский одномандатный избирательный округ,604209,15,#ee82ee,"городской округ - город Барнаул: Ленинский район, Октябрьский район; городской округ город Бийск; городской округ город Заринск; городской округ город Новоалтайск; городской округ ЗАТО Сибирский; Залесовский муниципальный округ; муниципальный округ Зональный район; муниципальный район Бийский район; муниципальный район Ельцовский район; муниципальный район Заринский район; муниципальный район Косихинский район; муниципальный район Красногорский район; муниципальный район Кытмановский район; муниципальный район Первомайский район; муниципальный район Солтонский район; муниципальный район Тогульский район; муниципальный район Троицкий район; муниципальный район Целинный район"
46,Алтайский край – Славгородский одномандатный избирательный округ,572932,2,#8b4513,городской округ - город Барнаул: Индустриальный район; городской округ город Яровое; муниципальный округ город Славгород; муниципальный округ Кулундинский район; муниципальный округ Немецкий национальный район; муниципальный округ Суетский район; муниципальный район Баевский район; муниципальный район Благовещенский район; муниципальный район Бурлинский район; муниципальный район Волчихинский район; муниципальный район Завьяловский район; муниципальный район Каменский район; муниципальный район Ключевский район; муниципальный район Крутихинский район; муниципальный район Мамонтовский район; муниципальный район Михайловский район; муниципальный район Павловский район; муниципальный район Панкрушихинский район; муниципальный район Ребрихинский район; муниципальный район Родинский район; муниципальный район Романовский район; муниципальный район Табунский район; муниципальный район Тальменский район; муниципальный район Тюменцевский район; муниципальный район Угловский район; муниципальный район Хабарский район; муниципальный район Шелаболихинский район
47,Забайкальский край – Забайкальский одномандатный избирательный округ,754427,3,#008000,
48,Камчатский край – Камчатский одномандатный избирательный округ,225630,10,#00fa9a,
49,Краснодарский край – Центральный одномандатный избирательный округ,513528,12,#0000ff,"городской округ город Краснодар: Карасунский внутригородской округ, Центральный внутригородской округ, Пашковский сельский округ, Старокорсунский сельский округ; Динской муниципальный район: Васюринское сельское поселение, Динское сельское поселение, Красносельское сельское поселение, Мичуринское сельское поселение, Первореченское сельское поселение, Пластуновское сельское поселение, Старомышастовское сельское поселение; Тимашевский муниципальный район"
50,Краснодарский край – Северо-Западный одномандатный избирательный округ,456806,13,#ff00ff,"городской округ город Краснодар: Калининский сельский округ, часть Прикубанского внутригородского округа восточнее железнодорожного путепровода ""Краснодар - Тимашевск""; Приморско-Ахтарский муниципальный округ; Динской муниципальный район:; Нововеличковское сельское поселение; Новотитаровское сельское поселение; Южно-Кубанское сельское поселение; Калининский муниципальный район; Красноармейский муниципальный район"
51,Краснодарский край – Юго-Западный одномандатный избирательный округ,507348,14,#6495ed,"городской округ город Краснодар: Березовский сельский округ, Елизаветинский сельский округ, Западный внутригородской округ, часть Прикубанского внутригородского округа западнее железнодорожного путепровода ""Краснодар - Тимашевск""; муниципальный округ город Горячий Ключ; Северский муниципальный район"
52,Краснодарский край – Западный одномандатный избирательный округ,534100,3,#008000,муниципальный округ город-курорт Анапа; Абинский муниципальный район; Крымский муниципальный район; Славянский муниципальный район; Темрюкский муниципальный район
53,Краснодарский край – Черноморский одномандатный избирательный округ,458687,6,#ff0000,"городской округ город-курорт Геленджик; городской округ город-герой Новороссийск; Туапсинский муниципальный округ; Апшеронский муниципальный район: Хадыженское городское поселение, Кабардинское сельское поселение, Кубанское сельское поселение, Куринское сельское поселение, Тверское сельское поселение"
