okrug,color_id,color,,name,voters,terr
11,6,#bd477a,,Избирательный округ № 11,162817,"Районы города Москвы: Свиблово, Северное Медведково, Южное Медведково."
12,15,#cb94a4,,Избирательный округ № 12,165353,"Районы города Москвы: Бабушкинский, Лосиноостровский, Ярославский."
13,14,#514835,,Избирательный округ № 13,178004,"Районы города Москвы: Алексеевский, Бутырский, Марьина роща, Останкинский, Ростокино."
14,9,#c1823d,,Избирательный округ № 14,160452,"Районы города Москвы: Богородское, Метрогородок, Сокольники; часть района города Москвы Гольяново в границах:  от пересечения Щелковского шоссе и Хабаровской улицы по Хабаровской улице до Красноярской улицы, далее на восток по Красноярской улице до Алтайской улицы, далее на запад по Алтайской улице до Уральской улицы, включая дом 10/30 по Хабаровской улице и исключая дом 5 по Алтайской улице, далее на север до северной границы дома 19А по Уральской улице, далее на запад вдоль северных границ домов 19А, 19 (корпусы 2,  3  и 4) по Уральской улице и домов 6 (корпусы 2, 6 и 8, строение 1) и 10 (корпус 2) по Черницынскому проезду до Иркутской улицы, исключая дом 16 по Иркутской улице, далее на север до границы района, далее на север по границе района до пересечения Щелковского шоссе и Хабаровской улицы."
15,8,#807ac5,,Избирательный округ № 15,168068,"Районы города Москвы: Преображенское, Северное Измайлово; район города Москвы Гольяново, за исключением территории в границах:  от пересечения Щелковского шоссе и Хабаровской улицы по Хабаровской улице до Красноярской улицы, далее на восток по Красноярской улице до Алтайской улицы, далее на запад по Алтайской улице до Уральской улицы, включая дом 10/30 по Хабаровской улице и исключая дом 5 по Алтайской улице, далее на север до северной границы дома 19А по Уральской улице, далее на запад вдоль северных границ домов 19А, 19 (корпусы 2,  3  и 4) по Уральской улице и домов 6 (корпусы 2, 6 и 8, строение 1) и 10 (корпус 2) по Черницынскому проезду до Иркутской улицы, исключая дом 16 по Иркутской улице, далее на север до границы района, далее на север по границе района до пересечения Щелковского шоссе и Хабаровской улицы."
16,13,#74abbf,,Избирательный округ № 16,156672,"Районы города Москвы: Перово, Соколиная гора; часть района города Москвы Новогиреево в границах:  от пересечения Зеленого проспекта и Новогиреевской улицы на юг по Новогиреевской улице до Полимерной улицы, далее на северо-восток по Полимерной улице до Мартеновской улицы, далее на юго-восток по Мартеновской улице до 7-го проспекта Новогиреева, далее на северо-восток по 7-му проспекту Новогиреева до улицы Алексея Дикого, далее на юго-восток по улице Алексея Дикого до Свободного проспекта, далее на юго-запад по Свободному проспекту до Фрязевской улицы, далее на юго-запад по границе района до пересечения Зеленого проспекта и Новогиреевской улицы."
17,11,#c7c89b,,Избирательный округ № 17,171587,"Районы города Москвы: Восточное Измайлово, Ивановское, Измайлово."
18,12,#c34638,,Избирательный округ № 18,153831,"Районы города Москвы: Восточный, Новокосино; район города Москвы Вешняки, за исключением территории в границах:  от границы района и северо-западной границы дома 21А по Косинской улице на северо-восток по Вешняковской улице до Косинской улицы, далее по Косинской улице до дома 8, далее на северо-восток вдоль восточной границы владения 3 (строение 4) до южной границы владения 21 по Вешняковской улице, далее на восток вдоль южной границы владения 21 по Вешняковской улице до съезда 5В с МКАД, далее на юг до пересечения съезда 5В с МКАД и МКАД, далее на юг по границе района до северо-западной границы дома 21А по Косинской улице; район города Москвы Новогиреево, за исключением территории в границах:  от пересечения Зеленого проспекта и Новогиреевской улицы на юг по Новогиреевской улице до Полимерной улицы, далее на северо-восток по Полимерной улице до Мартеновской улицы, далее на юго-восток по Мартеновской улице до 7-го проспекта Новогиреева, далее на северо-восток по 7-му проспекту Новогиреева до улицы Алексея Дикого, далее на юго-восток по улице Алексея Дикого до Свободного проспекта, далее на юго-запад по Свободному проспекту до Фрязевской улицы, далее на юго-запад по границе района до пересечения Зеленого проспекта и Новогиреевской улицы."
19,9,#c1823d,,Избирательный округ № 19,154920,"Районы города Москвы: Косино-Ухтомский, Некрасовка; часть района города Москвы Вешняки в границах:  от границы района и северо-западной границы дома 21А по Косинской улице на север по Вешняковской улице до Косинской улицы, далее по Косинской улице до дома 8, далее на северо-восток вдоль восточной границы владения 3 (строение 4) до южной границы владения 21 по Вешняковской улице, далее на восток вдоль южной границы владения 21 по Вешняковской улице до съезда 5В с МКАД, далее на юг до пересечения съезда 5В с МКАД и МКАД, далее на юг по границе района до северо-западной границы дома 21А по Косинской улице; часть района города Москвы Выхино-Жулебино в границах:  от границы района на северо-восток по улице Генерала Кузнецова до улицы Авиаконструктора Миля, далее по улице Авиаконструктора Миля до Жулебинского бульвара, исключая дом 3 по улице Авиаконструктора Миля, далее по Жулебинскому бульвару до Саранской улицы, далее на запад по Саранской улице до Привольной улицы, далее на северо-запад по Привольной улице до юго-восточной границы дома 27 (корпус 1), далее на северо-восток вдоль юго-восточных границ дома 27 (корпусы 1 и 2) по Привольной улице, дома 15 по Жулебинскому бульвару до Жулебинского бульвара, далее на северо-запад по Жулебинскому бульвару до Хвалынского бульвара, далее на юго-запад по Хвалынскому бульвару до Привольной улицы, далее на северо-запад по Привольной улице до дома 10 по Привольной улице, далее на запад вдоль юго-западной границы дома 10 по Привольной улице и южной границы владения 3А 8-го километра МКАД до МКАД, далее на северо-восток по МКАД до границы района, далее на юго-восток по границе района до улицы Генерала Кузнецова."
20,1,#7ad452,,Избирательный округ № 20,153933,"Район города Москвы Капотня; район города Москвы Выхино-Жулебино, за исключением территории в границах:  от границы района на северо-восток по улице Генерала Кузнецова до улицы Авиаконструктора Миля, далее по улице Авиаконструктора Миля до Жулебинского бульвара, исключая дом 3 по улице Авиаконструктора Миля, далее по Жулебинскому бульвару до Саранской улицы, далее на запад по Саранской улице до Привольной улицы, далее на северо-запад по Привольной улице до юго-восточной границы дома 27 (корпус 1), далее на северо-восток вдоль юго-восточных границ дома 27 (корпусы 1 и 2) по Привольной улице, дома 15 по Жулебинскому бульвару до Жулебинского бульвара, далее на северо-запад по Жулебинскому бульвару до Хвалынского бульвара, далее на юго-запад по Хвалынскому бульвару до Привольной улицы, далее на северо-запад по Привольной улице до дома 10 по Привольной улице, далее на запад вдоль юго-западной границы дома 10 по Привольной улице и южной границы владения 3А 8-го километра МКАД до МКАД, далее на северо-восток по МКАД до границы района, далее на юго-восток по границе района до улицы Генерала Кузнецова; часть района города Москвы Люблино в границах:  от пересечения Белореченской улицы, улицы Верхние Поля и Новороссийской улицы на северо-запад по Новороссийской улице до пересечения с Совхозной улицей,  далее на северо-восток по Совхозной улице, исключая дом 23 (корпус 1) по Новороссийской улице, до Краснодарской улицы, далее на юго-восток по Краснодарской улице до домов 58Г и 65/18 (строение 2), далее на северо-восток вдоль юго-восточной границы дома 57 (корпус 3), далее на северо-запад вдоль северо-восточной границы дома 57 (корпус 3), далее на северо-восток вдоль юго-восточной границы дома 55, далее на северо-запад вдоль северо-восточной границы дома 55 до западной границы дома 59, далее на северо-восток по внутриквартальному проезду между домами 53 и 59 по Краснодарской улице до дома 54 (корпус 2) по Ставропольской улице, далее на восток по внутриквартальному проезду вдоль южных границ домов 54 (корпус 2) и 56 (корпусы 2 и 3), далее на север по внутриквартальному проезду вдоль дома 58 (корпус 2), между домами 56 (строение 4) и 60 (корпус 1, строение 2) по Ставропольской улице до дома 58 (корпус 1), далее на восток вдоль дома 58 (корпус 1), на север вдоль восточной границы дома 58 (корпус 1) до северной границы дома 27 (строение 8) по Ставропольской улице, далее на северо-запад до дома 27А (строение 2) по Ставропольской улице, далее на север до границы района, далее на юго-восток по границе района до пересечения Белореченской улицы, улицы Верхние Поля и Новороссийской улицы; часть района города Москвы Марьино в границах:  по границе района на юго-восток от пересечения улицы Верхние Поля и Цимлянской улицы до юго-восточной границы дома 44 (корпус 1) по улице Верхние Поля, далее на юго-запад вдоль юго-восточных границ домов 44 (корпус 1) и 42 (корпус 2) по улице Верхние Поля, домов 41 (корпус 2) и 43 по Белореченской улице, исключая дом 47 (корпус 3) по Белореченской улице и включая дом 45 (корпус 2) по Белореченской улице, до пересечения Белореченской улицы и Новомарьинской улицы, далее на северо-запад по Белореченской улице до юго-восточной границы территории храма святых Жен-Мироносиц на территории Дюссельдорфского парка, далее на юго-запад по территории Дюссельдорфского парка до Перервинского бульвара, далее на северо-запад по Перервинскому бульвару до улицы Перервы, далее на северо-восток по улице Перерве до Белореченской улицы, далее на северо-запад по Белореченской улице до границы района и пересечения улицы Верхние Поля и Цимлянской улицы."
21,14,#514835,,Избирательный округ № 21,155045,"Район города Москвы Марьино, за исключением территории в границах:  по границе района на юго-восток от пересечения улицы Верхние Поля и Цимлянской улицы до юго-восточной границы дома 44 (корпус 1) по улице Верхние Поля, далее на юго-запад вдоль юго-восточных границ домов 44 (корпус 1) и 42 (корпус 2) по улице Верхние Поля, домов 41 (корпус 2) и 43 по Белореченской улице, исключая дом 47 (корпус 3) по Белореченской улице и включая дом 45 (корпус 2) по Белореченской улице, до пересечения Белореченской улицы и Новомарьинской улицы, далее на северо-запад по Белореченской улице до юго-восточной границы территории храма святых Жен-Мироносиц на территории Дюссельдорфского парка, далее на юго-запад по территории Дюссельдорфского парка до Перервинского бульвара, далее на северо-запад по Перервинскому бульвару до улицы Перервы, далее на северо-восток по улице Перерве до Белореченской улицы, далее на северо-запад по Белореченской улице до границы района и пересечения улицы Верхние Поля и Цимлянской улицы."
22,7,#577e3c,,Избирательный округ № 22,156811,"Район города Москвы Кузьминки; район города Москвы Люблино, за исключением территории в границах:  от пересечения Белореченской улицы, улицы Верхние Поля и Новороссийской улицы на северо-запад по Новороссийской улице до пересечения с Совхозной улицей, далее на северо-восток по Совхозной улице, исключая дом 23 (корпус 1) по Новороссийской улице, до Краснодарской улицы, далее на юго-восток по Краснодарской улице до домов 58Г и 65/18 (строение 2), далее на северо-восток вдоль юго-восточной границы дома 57 (корпус 3), далее на северо-запад вдоль северо-восточной границы дома 57 (корпус 3), далее на северо-восток вдоль юго-восточной границы дома 55, далее на северо-запад вдоль северо-восточной границы дома 55 до западной границы дома 59, далее на северо-восток по внутриквартальному проезду между домами 53 и 59 по Краснодарской улице до дома 54 (корпус 2) по Ставропольской улице, далее на восток по внутриквартальному проезду вдоль южных границ домов 54 (корпус 2) и 56 (корпусы 2  и 3), далее на север по внутриквартальному проезду вдоль дома 58 (корпус 2), между домами 56 (строение 4) и 60 (корпус 1, строение 2) по Ставропольской улице до дома 58 (корпус 1), далее на восток вдоль дома 58 (корпус 1), на север вдоль восточной границы дома 58 (корпус 1) до северной границы дома 27 (строение 8) по Ставропольской улице, далее на северо-запад до дома 27А (строение 2) по Ставропольской улице, далее на север до границы района, далее на юго-восток по границе района до пересечения Белореченской улицы, улицы Верхние Поля и Новороссийской улицы."
23,4,#cb4dc5,,Избирательный округ № 23,153841,"Районы города Москвы: Лефортово, Нижегородский, Рязанский."
24,3,#cfcd48,,Избирательный округ № 24,153815,"Районы города Москвы: Печатники, Текстильщики, Южнопортовый."
25,10,#492b4e,,Избирательный округ № 25,154921,"Районы города Москвы: Братеево, Зябликово; часть района города Москвы Москворечье-Сабурово в границах:  от границы района на север по Шайдаровской улице до западной границы дома 4 (корпус 2) по Кантемировской улице, далее на юг вдоль западной границы дома 4 (корпус 2) по Кантемировской улице, далее на запад вдоль южной границы дома 4 (корпус 3) по Кантемировской улице до восточной границы дома 8 (корпус 1) по Кантемировской улице, далее на север вдоль восточной границы дома 8 (корпус 1) по Кантемировской улице до дома 4 (корпус 3) по Кантемировской улице, далее на запад вдоль южной границы дома 4 (корпус 3) по Кантемировской улице, на север 90 метров вдоль западной границы дома 4 (корпус 3) по Кантемировской улице, далее на запад вдоль южной границы территории дома 13 (корпус 2) по улице Кошкина до восточной границы дома 17 (корпус 1) по улице Кошкина, далее на север вдоль восточных границ домов 17 (корпус 1) и 13 (корпус 1), на запад вдоль северной границы дома 13 (корпус 1) по улице Кошкина до северо-восточной границы дома 11 (корпус 2), на северо-запад вдоль северо-восточной границы дома 11 (корпус 2) до дома 9, далее на северо-восток вдоль юго-восточной границы дома 9, далее на северо-запад вдоль северо-восточной границы дома 9 по улице Кошкина до улицы Кошкина, далее на юго-запад по улице Кошкина до пересечения с улицей Москворечье, далее на северо-запад по улице Москворечье до Пролетарского проспекта, далее на север по Пролетарскому проспекту до Каширского шоссе и границы района, далее на юго-восток по границе района до Шайдаровской улицы."
26,5,#6bd4a3,,Избирательный округ № 26,159419,"Районы города Москвы: Орехово-Борисово Северное, Орехово-Борисово Южное."
27,15,#cb94a4,,Избирательный округ № 27,152664,"Районы города Москвы: Нагатинский затон, Царицыно; район города Москвы Москворечье-Сабурово, за исключением территории в границах:  от границы района на север по Шайдаровской улице до западной границы дома 4 (корпус 2) по Кантемировской улице, далее на юг вдоль западной границы дома 4 (корпус 2) по Кантемировской улице, далее на запад вдоль южной границы дома 4 (корпус 3) по Кантемировской улице до восточной границы дома 8 (корпус 1) по Кантемировской улице, далее на север вдоль восточной границы дома 8 (корпус 1) по Кантемировской улице до дома 4 (корпус 3) по Кантемировской улице, далее на запад вдоль южной границы дома 4 (корпус 3) по Кантемировской улице, на север 90 метров вдоль западной границы дома 4 (корпус 3) по Кантемировской улице, далее на запад вдоль южной границы территории дома 13 (корпус 2) по улице Кошкина до восточной границы дома 17 (корпус 1) по улице Кошкина, далее на север вдоль восточных границ домов 17 (корпус 1) и 13 (корпус 1), на запад вдоль северной границы дома 13 (корпус 1) по улице Кошкина до северо-восточной границы дома 11 (корпус 2), на северо-запад вдоль северо-восточной границы дома 11 (корпус 2) до дома 9, далее на северо-восток вдоль юго-восточной границы дома 9, далее на северо-запад вдоль северо-восточной границы дома 9 по улице Кошкина до улицы Кошкина, далее на юго-запад по улице Кошкина до пересечения с улицей Москворечье, далее на северо-запад по улице Москворечье до Пролетарского проспекта, далее на север по Пролетарскому проспекту до Каширского шоссе и границы района, далее на юго-восток по границе района до Шайдаровской улицы."
28,6,#bd477a,,Избирательный округ № 28,185870,"Районы города Москвы: Бирюлево Восточное, Бирюлево Западное; часть района города Москвы Чертаново Южное в границах:  от границы района по улице Кирпичные Выемки до Варшавского шоссе, далее на северо-восток по Варшавскому шоссе до границы района, далее на юго-восток по границе района до улицы Кирпичные Выемки."
29,13,#74abbf,,Избирательный округ № 29,174787,"Районы города Москвы: Чертаново Северное, Чертаново Центральное; район города Москвы Чертаново Южное, за исключением территории в границах:  от границы района по улице Кирпичные Выемки до Варшавского шоссе, далее на северо-восток по Варшавскому шоссе до границы района, далее на юго-восток по границе района до улицы Кирпичные Выемки."
30,9,#c1823d,,Избирательный округ № 30,174984,"Районы города Москвы: Даниловский, Донской, Нагатино-Садовники, Нагорный."
